Radix sort (thrust)
size,time,1000000,4
256,625
512,604
1024,602
2048,714
4096,701
8192,692
16384,688
32768,693
65536,782
131072,915
262144,1105
524288,1376
1048576,1933
2097152,3096
4194304,5312
8388608,9802
16777216,18713
33554432,36569
67108864,72306

Merge sort (thrust)
size,time,1000000,4
256,19
512,133
1024,262
2048,284
4096,304
8192,341
16384,385
32768,459
65536,631
131072,1104
262144,2119
524288,4112
1048576,8026
2097152,16599
4194304,34419
8388608,72626
16777216,151981
33554432,323988
67108864,674877
