CPU STL sort
size,time,1000000,4
256,24
512,50
1024,108
2048,231
4096,493
8192,1012
16384,1991
32768,3685
65536,6348
131072,10704
262144,21975
524288,46238
1048576,96999
2097152,203464
4194304,432746
8388608,892991
16777216,1853807
33554432,3858557
67108864,8021579
