Copy times
size,time_to_device,time_to_host,1000000
1024,7,10
2048,7,10
4096,8,11
8192,11,13
16384,14,15
32768,18,21
65536,28,33
131072,48,54
262144,84,95
524288,151,172
1048576,281,316
2097152,434,451
4194304,760,767
8388608,1417,1405
16777216,2730,2684
33554432,5350,5235
67108864,10597,10341
134217728,21081,20540
268435456,42057,40960
